valid_time,avg_tdswrf,number,expver
1978-05-01 06:00:00,299.16537,0,0001
1978-06-01 06:00:00,306.36798,0,0001
1978-07-01 06:00:00,301.3782,0,0001
1978-08-01 06:00:00,286.94794,0,0001
1978-09-01 06:00:00,275.233,0,0001
1978-10-01 06:00:00,287.14627,0,0001
1978-11-01 06:00:00,311.52158,0,0001
1978-12-01 06:00:00,326.0556,0,0001
1979-01-01 06:00:00,320.54425,0,0001
1979-02-01 06:00:00,299.87122,0,0001
1979-03-01 06:00:00,280.78323,0,0001
1979-04-01 06:00:00,284.91498,0,0001
1979-05-01 06:00:00,299.14832,0,0001
1979-06-01 06:00:00,306.43936,0,0001
1979-07-01 06:00:00,301.5416,0,0001
1979-08-01 06:00:00,287.1476,0,0001
1979-09-01 06:00:00,275.32507,0,0001
1979-10-01 06:00:00,287.0381,0,0001
1979-11-01 06:00:00,311.42484,0,0001
1979-12-01 06:00:00,326.09872,0,0001
1980-01-01 06:00:00,320.67142,0,0001
1980-02-01 06:00:00,299.66827,0,0001
1980-03-01 06:00:00,280.55966,0,0001
1980-04-01 06:00:00,285.25974,0,0001
1980-05-01 06:00:00,299.45758,0,0001
1980-06-01 06:00:00,306.47278,0,0001
1980-07-01 06:00:00,301.2773,0,0001
1980-08-01 06:00:00,286.75516,0,0001
1980-09-01 06:00:00,275.26404,0,0001
1980-10-01 06:00:00,287.60925,0,0001
1980-11-01 06:00:00,311.97702,0,0001
1980-12-01 06:00:00,326.2278,0,0001
1981-01-01 06:00:00,320.29633,0,0001
1981-02-01 06:00:00,299.47144,0,0001
1981-03-01 06:00:00,280.64246,0,0001
1981-04-01 06:00:00,285.16293,0,0001
1981-05-01 06:00:00,299.37314,0,0001
1981-06-01 06:00:00,306.47546,0,0001
1981-07-01 06:00:00,301.373,0,0001
1981-08-01 06:00:00,286.8888,0,0001
1981-09-01 06:00:00,275.28925,0,0001
1981-10-01 06:00:00,287.43365,0,0001
1981-11-01 06:00:00,311.81024,0,0001
1981-12-01 06:00:00,326.19907,0,0001
1982-01-01 06:00:00,320.3268,0,0001
1982-02-01 06:00:00,299.57928,0,0001
1982-03-01 06:00:00,280.63367,0,0001
1982-04-01 06:00:00,284.97116,0,0001
1982-05-01 06:00:00,299.18817,0,0001
1982-06-01 06:00:00,306.37506,0,0001
1982-07-01 06:00:00,301.36728,0,0001
1982-08-01 06:00:00,286.927,0,0001
1982-09-01 06:00:00,275.22412,0,0001
1982-10-01 06:00:00,287.1628,0,0001
1982-11-01 06:00:00,311.5388,0,0001
1982-12-01 06:00:00,326.06012,0,0001
1983-01-01 06:00:00,320.4303,0,0001
1983-02-01 06:00:00,299.75778,0,0001
1983-03-01 06:00:00,280.69278,0,0001
1983-04-01 06:00:00,284.84732,0,0001
1983-05-01 06:00:00,299.07358,0,0001
1983-06-01 06:00:00,306.34607,0,0001
1983-07-01 06:00:00,301.432,0,0001
1983-08-01 06:00:00,287.03287,0,0001
1983-09-01 06:00:00,275.22583,0,0001
1983-10-01 06:00:00,286.96063,0,0001
1983-11-01 06:00:00,311.34024,0,0001
1983-12-01 06:00:00,325.9969,0,0001
1984-01-01 06:00:00,320.4629,0,0001
1984-02-01 06:00:00,299.46698,0,0001
1984-03-01 06:00:00,280.38745,0,0001
1984-04-01 06:00:00,285.10812,0,0001
1984-05-01 06:00:00,299.29416,0,0001
1984-06-01 06:00:00,306.28906,0,0001
1984-07-01 06:00:00,301.07874,0,0001
1984-08-01 06:00:00,286.55597,0,0001
1984-09-01 06:00:00,275.08456,0,0001
1984-10-01 06:00:00,287.4474,0,0001
1984-11-01 06:00:00,311.80023,0,0001
1984-12-01 06:00:00,326.02945,0,0001
1985-01-01 06:00:00,320.03696,0,0001
1985-02-01 06:00:00,299.22287,0,0001
1985-03-01 06:00:00,280.42572,0,0001
1985-04-01 06:00:00,284.96637,0,0001
1985-05-01 06:00:00,299.16275,0,0001
1985-06-01 06:00:00,306.2435,0,0001
1985-07-01 06:00:00,301.1268,0,0001
1985-08-01 06:00:00,286.6444,0,0001
1985-09-01 06:00:00,275.06598,0,0001
1985-10-01 06:00:00,287.22644,0,0001
1985-11-01 06:00:00,311.58447,0,0001
1985-12-01 06:00:00,325.94943,0,0001
1986-01-01 06:00:00,320.16132,0,0001
1986-02-01 06:00:00,299.41946,0,0001
1986-03-01 06:00:00,280.49982,0,0001
1986-04-01 06:00:00,284.85922,0,0001
1986-05-01 06:00:00,299.0667,0,0001
1986-06-01 06:00:00,306.2342,0,0001
1986-07-01 06:00:00,301.21066,0,0001
1986-08-01 06:00:00,286.7677,0,0001
1986-09-01 06:00:00,275.08237,0,0001
1986-10-01 06:00:00,287.04086,0,0001
1986-11-01 06:00:00,311.40558,0,0001
1986-12-01 06:00:00,325.9073,0,0001
1987-01-01 06:00:00,320.32108,0,0001
1987-02-01 06:00:00,299.65005,0,0001
1987-03-01 06:00:00,280.6077,0,0001
1987-04-01 06:00:00,284.78513,0,0001
1987-05-01 06:00:00,299.00436,0,0001
1987-06-01 06:00:00,306.25916,0,0001
1987-07-01 06:00:00,301.3282,0,0001
1987-08-01 06:00:00,286.92374,0,0001
1987-09-01 06:00:00,275.13193,0,0001
1987-10-01 06:00:00,286.88882,0,0001
1987-11-01 06:00:00,311.26157,0,0001
1987-12-01 06:00:00,325.90125,0,0001
1988-01-01 06:00:00,320.51276,0,0001
1988-02-01 06:00:00,299.50888,0,0001
1988-03-01 06:00:00,280.4431,0,0001
1988-04-01 06:00:00,285.18835,0,0001
1988-05-01 06:00:00,299.37408,0,0001
1988-06-01 06:00:00,306.35443,0,0001
1988-07-01 06:00:00,301.125,0,0001
1988-08-01 06:00:00,286.58975,0,0001
1988-09-01 06:00:00,275.12872,0,0001
1988-10-01 06:00:00,287.51913,0,0001
1988-11-01 06:00:00,311.8768,0,0001
1988-12-01 06:00:00,326.09607,0,0001
1989-01-01 06:00:00,320.25824,0,0001
1989-02-01 06:00:00,299.42572,0,0001
1989-03-01 06:00:00,280.6318,0,0001
1989-04-01 06:00:00,285.1997,0,0001
1989-05-01 06:00:00,299.40332,0,0001
1989-06-01 06:00:00,306.47354,0,0001
1989-07-01 06:00:00,301.33502,0,0001
1989-08-01 06:00:00,286.8324,0,0001
1989-09-01 06:00:00,275.25775,0,0001
1989-10-01 06:00:00,287.45242,0,0001
1989-11-01 06:00:00,311.82855,0,0001
1989-12-01 06:00:00,326.1913,0,0001
1990-01-01 06:00:00,320.3631,0,0001
1990-02-01 06:00:00,299.60233,0,0001
1990-03-01 06:00:00,280.68704,0,0001
1990-04-01 06:00:00,285.07352,0,0001
1990-05-01 06:00:00,299.2876,0,0001
1990-06-01 06:00:00,306.44397,0,0001
1990-07-01 06:00:00,301.3991,0,0001
1990-08-01 06:00:00,286.93658,0,0001
1990-09-01 06:00:00,275.25558,0,0001
1990-10-01 06:00:00,287.24765,0,0001
