valid_time,vit,number,expver
1979-11-01,2435297.0,0,0001
1979-12-01,2436568.8,0,0001
1980-01-01,2439965.8,0,0001
1980-02-01,2439622.5,0,0001
1980-03-01,2441310.8,0,0001
1980-04-01,2445260.2,0,0001
1980-05-01,2451091.0,0,0001
1980-06-01,2453957.5,0,0001
1980-07-01,2458530.5,0,0001
1980-08-01,2450984.0,0,0001
1980-09-01,2442585.0,0,0001
1980-10-01,2433560.2,0,0001
1980-11-01,2434840.0,0,0001
1980-12-01,2434371.5,0,0001
1981-01-01,2433801.0,0,0001
1981-02-01,2438622.5,0,0001
1981-03-01,2442474.8,0,0001
1981-04-01,2440231.0,0,0001
1981-05-01,2446241.2,0,0001
1981-06-01,2452546.5,0,0001
1981-07-01,2456457.2,0,0001
1981-08-01,2454002.8,0,0001
1981-09-01,2443300.0,0,0001
1981-10-01,2435842.5,0,0001
1981-11-01,2431345.8,0,0001
1981-12-01,2436857.5,0,0001
1982-01-01,2437724.2,0,0001
1982-02-01,2436048.2,0,0001
1982-03-01,2432087.0,0,0001
1982-04-01,2436783.0,0,0001
1982-05-01,2446190.5,0,0001
1982-06-01,2452259.0,0,0001
1982-07-01,2453848.0,0,0001
1982-08-01,2448923.5,0,0001
1982-09-01,2438160.8,0,0001
1982-10-01,2434460.0,0,0001
1982-11-01,2434230.2,0,0001
1982-12-01,2437318.5,0,0001
1983-01-01,2436746.5,0,0001
1983-02-01,2436633.0,0,0001
1983-03-01,2441433.2,0,0001
1983-04-01,2444001.0,0,0001
1983-05-01,2449858.0,0,0001
1983-06-01,2450126.8,0,0001
1983-07-01,2453928.2,0,0001
1983-08-01,2449824.2,0,0001
1983-09-01,2441971.8,0,0001
1983-10-01,2429722.0,0,0001
1983-11-01,2430221.0,0,0001
1983-12-01,2432694.2,0,0001
1984-01-01,2434041.8,0,0001
1984-02-01,2435311.2,0,0001
1984-03-01,2438364.0,0,0001
1984-04-01,2439008.5,0,0001
1984-05-01,2446100.2,0,0001
1984-06-01,2450477.5,0,0001
1984-07-01,2452644.2,0,0001
1984-08-01,2449306.8,0,0001
1984-09-01,2438398.2,0,0001
1984-10-01,2434254.5,0,0001
1984-11-01,2431094.8,0,0001
1984-12-01,2437437.5,0,0001
1985-01-01,2442588.8,0,0001
1985-02-01,2435857.0,0,0001
1985-03-01,2433715.0,0,0001
1985-04-01,2439456.5,0,0001
1985-05-01,2444747.5,0,0001
1985-06-01,2451875.5,0,0001
1985-07-01,2449403.0,0,0001
1985-08-01,2448516.2,0,0001
1985-09-01,2437733.8,0,0001
1985-10-01,2428213.0,0,0001
1985-11-01,2429180.2,0,0001
1985-12-01,2434861.0,0,0001
1986-01-01,2435588.8,0,0001
1986-02-01,2436884.0,0,0001
1986-03-01,2432169.2,0,0001
1986-04-01,2439357.2,0,0001
1986-05-01,2448278.2,0,0001
1986-06-01,2450752.0,0,0001
1986-07-01,2452412.8,0,0001
1986-08-01,2448208.2,0,0001
1986-09-01,2436179.5,0,0001
1986-10-01,2428256.2,0,0001
1986-11-01,2430923.8,0,0001
1986-12-01,2432804.2,0,0001
1987-01-01,2439734.2,0,0001
1987-02-01,2441614.0,0,0001
1987-03-01,2436609.2,0,0001
1987-04-01,2440016.0,0,0001
1987-05-01,2445804.5,0,0001
1987-06-01,2456265.2,0,0001
1987-07-01,2457504.2,0,0001
1987-08-01,2448632.0,0,0001
1987-09-01,2439116.8,0,0001
1987-10-01,2432115.2,0,0001
1987-11-01,2429667.2,0,0001
1987-12-01,2441104.8,0,0001
1988-01-01,2436948.2,0,0001
1988-02-01,2435703.2,0,0001
1988-03-01,2438052.0,0,0001
1988-04-01,2440875.8,0,0001
1988-05-01,2450883.8,0,0001
1988-06-01,2455179.8,0,0001
1988-07-01,2456312.2,0,0001
1988-08-01,2453535.8,0,0001
1988-09-01,2444324.2,0,0001
1988-10-01,2437741.5,0,0001
1988-11-01,2434406.8,0,0001
1988-12-01,2432534.2,0,0001
1989-01-01,2429090.8,0,0001
1989-02-01,2433346.2,0,0001
1989-03-01,2436416.5,0,0001
1989-04-01,2441647.2,0,0001
1989-05-01,2441289.5,0,0001
1989-06-01,2447198.2,0,0001
1989-07-01,2451466.5,0,0001
1989-08-01,2450411.0,0,0001
1989-09-01,2440728.8,0,0001
1989-10-01,2431480.2,0,0001
1989-11-01,2430566.0,0,0001
1989-12-01,2437864.2,0,0001
1990-01-01,2437817.8,0,0001
1990-02-01,2433472.5,0,0001
1990-03-01,2432946.8,0,0001
1990-04-01,2438880.2,0,0001
1990-05-01,2447997.8,0,0001
