valid_time,avg_snswrf,number,expver
1964-10-01 06:00:00,126.11142,0,0001
1964-11-01 06:00:00,130.6121,0,0001
1964-12-01 06:00:00,135.87036,0,0001
1965-01-01 06:00:00,136.40479,0,0001
1965-02-01 06:00:00,132.3505,0,0001
1965-03-01 06:00:00,127.36962,0,0001
1965-04-01 06:00:00,125.69733,0,0001
1965-05-01 06:00:00,125.44343,0,0001
1965-06-01 06:00:00,127.90862,0,0001
1965-07-01 06:00:00,128.89369,0,0001
1965-08-01 06:00:00,126.793335,0,0001
1965-09-01 06:00:00,124.79077,0,0001
1965-10-01 06:00:00,126.53218,0,0001
1965-11-01 06:00:00,130.70538,0,0001
1965-12-01 06:00:00,136.15683,0,0001
1966-01-01 06:00:00,136.90656,0,0001
1966-02-01 06:00:00,131.25693,0,0001
1966-03-01 06:00:00,127.97318,0,0001
1966-04-01 06:00:00,125.45751,0,0001
1966-05-01 06:00:00,126.06194,0,0001
1966-06-01 06:00:00,128.88562,0,0001
1966-07-01 06:00:00,128.02332,0,0001
1966-08-01 06:00:00,126.72991,0,0001
1966-09-01 06:00:00,125.933136,0,0001
1966-10-01 06:00:00,126.34603,0,0001
1966-11-01 06:00:00,130.6931,0,0001
1966-12-01 06:00:00,136.82166,0,0001
1967-01-01 06:00:00,137.0646,0,0001
1967-02-01 06:00:00,132.23334,0,0001
1967-03-01 06:00:00,127.77582,0,0001
1967-04-01 06:00:00,125.54365,0,0001
1967-05-01 06:00:00,125.667046,0,0001
1967-06-01 06:00:00,127.99394,0,0001
1967-07-01 06:00:00,128.5173,0,0001
1967-08-01 06:00:00,126.65588,0,0001
1967-09-01 06:00:00,125.65182,0,0001
1967-10-01 06:00:00,126.4715,0,0001
1967-11-01 06:00:00,131.74748,0,0001
1967-12-01 06:00:00,136.03949,0,0001
1968-01-01 06:00:00,136.07631,0,0001
1968-02-01 06:00:00,131.48334,0,0001
1968-03-01 06:00:00,127.51702,0,0001
1968-04-01 06:00:00,126.1224,0,0001
1968-05-01 06:00:00,125.54132,0,0001
1968-06-01 06:00:00,128.792,0,0001
1968-07-01 06:00:00,127.89199,0,0001
1968-08-01 06:00:00,127.03578,0,0001
1968-09-01 06:00:00,125.790016,0,0001
1968-10-01 06:00:00,126.80859,0,0001
1968-11-01 06:00:00,130.73494,0,0001
1968-12-01 06:00:00,137.06749,0,0001
1969-01-01 06:00:00,136.73868,0,0001
1969-02-01 06:00:00,131.29407,0,0001
1969-03-01 06:00:00,126.51347,0,0001
1969-04-01 06:00:00,124.93931,0,0001
1969-05-01 06:00:00,124.19733,0,0001
1969-06-01 06:00:00,126.487434,0,0001
1969-07-01 06:00:00,128.644,0,0001
1969-08-01 06:00:00,126.26274,0,0001
1969-09-01 06:00:00,124.60434,0,0001
1969-10-01 06:00:00,127.05812,0,0001
1969-11-01 06:00:00,131.76164,0,0001
1969-12-01 06:00:00,136.67903,0,0001
1970-01-01 06:00:00,137.45456,0,0001
1970-02-01 06:00:00,132.65097,0,0001
1970-03-01 06:00:00,127.76546,0,0001
1970-04-01 06:00:00,126.13325,0,0001
1970-05-01 06:00:00,124.78203,0,0001
1970-06-01 06:00:00,127.80532,0,0001
1970-07-01 06:00:00,128.398,0,0001
1970-08-01 06:00:00,125.76196,0,0001
1970-09-01 06:00:00,125.234566,0,0001
1970-10-01 06:00:00,126.90964,0,0001
1970-11-01 06:00:00,132.18317,0,0001
1970-12-01 06:00:00,136.75777,0,0001
1971-01-01 06:00:00,137.23149,0,0001
1971-02-01 06:00:00,132.36346,0,0001
1971-03-01 06:00:00,127.50434,0,0001
1971-04-01 06:00:00,125.74288,0,0001
1971-05-01 06:00:00,125.18891,0,0001
1971-06-01 06:00:00,127.93545,0,0001
1971-07-01 06:00:00,128.02246,0,0001
1971-08-01 06:00:00,126.66315,0,0001
1971-09-01 06:00:00,125.30379,0,0001
1971-10-01 06:00:00,127.74819,0,0001
1971-11-01 06:00:00,131.30597,0,0001
1971-12-01 06:00:00,136.3687,0,0001
1972-01-01 06:00:00,138.24062,0,0001
1972-02-01 06:00:00,132.42601,0,0001
1972-03-01 06:00:00,128.0517,0,0001
1972-04-01 06:00:00,125.35049,0,0001
1972-05-01 06:00:00,125.03455,0,0001
1972-06-01 06:00:00,127.772675,0,0001
1972-07-01 06:00:00,127.62411,0,0001
1972-08-01 06:00:00,126.47269,0,0001
1972-09-01 06:00:00,124.54171,0,0001
1972-10-01 06:00:00,126.17193,0,0001
1972-11-01 06:00:00,130.99277,0,0001
1972-12-01 06:00:00,136.90587,0,0001
1973-01-01 06:00:00,136.30786,0,0001
1973-02-01 06:00:00,131.47203,0,0001
1973-03-01 06:00:00,125.55901,0,0001
1973-04-01 06:00:00,124.49944,0,0001
1973-05-01 06:00:00,125.49357,0,0001
1973-06-01 06:00:00,127.83507,0,0001
1973-07-01 06:00:00,128.20398,0,0001
1973-08-01 06:00:00,125.82127,0,0001
1973-09-01 06:00:00,124.73476,0,0001
1973-10-01 06:00:00,126.33456,0,0001
1973-11-01 06:00:00,130.82722,0,0001
1973-12-01 06:00:00,136.13403,0,0001
1974-01-01 06:00:00,137.34525,0,0001
1974-02-01 06:00:00,132.46552,0,0001
1974-03-01 06:00:00,126.84395,0,0001
1974-04-01 06:00:00,125.431725,0,0001
1974-05-01 06:00:00,124.864685,0,0001
1974-06-01 06:00:00,128.88683,0,0001
1974-07-01 06:00:00,128.22113,0,0001
1974-08-01 06:00:00,126.65321,0,0001
1974-09-01 06:00:00,124.78713,0,0001
1974-10-01 06:00:00,127.08867,0,0001
1974-11-01 06:00:00,131.70161,0,0001
1974-12-01 06:00:00,136.19704,0,0001
1975-01-01 06:00:00,137.44972,0,0001
1975-02-01 06:00:00,132.4312,0,0001
1975-03-01 06:00:00,126.76804,0,0001
1975-04-01 06:00:00,123.73594,0,0001
1975-05-01 06:00:00,124.86511,0,0001
1975-06-01 06:00:00,127.5936,0,0001
1975-07-01 06:00:00,128.8748,0,0001
1975-08-01 06:00:00,126.08904,0,0001
1975-09-01 06:00:00,124.62531,0,0001
1975-10-01 06:00:00,126.29447,0,0001
1975-11-01 06:00:00,132.11389,0,0001
1975-12-01 06:00:00,137.48996,0,0001
1976-01-01 06:00:00,138.3028,0,0001
1976-02-01 06:00:00,132.85591,0,0001
1976-03-01 06:00:00,126.71769,0,0001
1976-04-01 06:00:00,125.261375,0,0001
1976-05-01 06:00:00,124.85641,0,0001
1976-06-01 06:00:00,128.6743,0,0001
1976-07-01 06:00:00,129.09317,0,0001
1976-08-01 06:00:00,127.21774,0,0001
1976-09-01 06:00:00,126.07731,0,0001
1976-10-01 06:00:00,127.69814,0,0001
1976-11-01 06:00:00,132.58246,0,0001
1976-12-01 06:00:00,138.81705,0,0001
1977-01-01 06:00:00,136.94038,0,0001
1977-02-01 06:00:00,133.33519,0,0001
1977-03-01 06:00:00,127.00337,0,0001
1977-04-01 06:00:00,125.94576,0,0001
1977-05-01 06:00:00,125.04945,0,0001
1977-06-01 06:00:00,129.10599,0,0001
1977-07-01 06:00:00,128.10681,0,0001
1977-08-01 06:00:00,125.991325,0,0001
1977-09-01 06:00:00,125.84653,0,0001
1977-10-01 06:00:00,127.30807,0,0001
1977-11-01 06:00:00,131.37537,0,0001
