valid_time,avg_tnlwrf,number,expver
1963-03-01 06:00:00,-222.96848,0,0001
1963-04-01 06:00:00,-224.07924,0,0001
1963-05-01 06:00:00,-226.76962,0,0001
1963-06-01 06:00:00,-230.4605,0,0001
1963-07-01 06:00:00,-230.9246,0,0001
1963-08-01 06:00:00,-230.40799,0,0001
1963-09-01 06:00:00,-228.23973,0,0001
1963-10-01 06:00:00,-225.38548,0,0001
1963-11-01 06:00:00,-223.85776,0,0001
1963-12-01 06:00:00,-225.44586,0,0001
1964-01-01 06:00:00,-224.27475,0,0001
1964-02-01 06:00:00,-223.8175,0,0001
1964-03-01 06:00:00,-223.3723,0,0001
1964-04-01 06:00:00,-223.99777,0,0001
1964-05-01 06:00:00,-226.36407,0,0001
1964-06-01 06:00:00,-229.76465,0,0001
1964-07-01 06:00:00,-231.2976,0,0001
1964-08-01 06:00:00,-229.89113,0,0001
1964-09-01 06:00:00,-227.0291,0,0001
1964-10-01 06:00:00,-225.22762,0,0001
1964-11-01 06:00:00,-224.7859,0,0001
1964-12-01 06:00:00,-224.57791,0,0001
1965-01-01 06:00:00,-224.68593,0,0001
1965-02-01 06:00:00,-223.88577,0,0001
1965-03-01 06:00:00,-223.55705,0,0001
1965-04-01 06:00:00,-223.93753,0,0001
1965-05-01 06:00:00,-226.80754,0,0001
1965-06-01 06:00:00,-229.59361,0,0001
1965-07-01 06:00:00,-230.67746,0,0001
1965-08-01 06:00:00,-229.90398,0,0001
1965-09-01 06:00:00,-226.93567,0,0001
1965-10-01 06:00:00,-224.42664,0,0001
1965-11-01 06:00:00,-224.70619,0,0001
1965-12-01 06:00:00,-225.18538,0,0001
1966-01-01 06:00:00,-223.75438,0,0001
1966-02-01 06:00:00,-224.51364,0,0001
1966-03-01 06:00:00,-223.69778,0,0001
1966-04-01 06:00:00,-224.48636,0,0001
1966-05-01 06:00:00,-227.04933,0,0001
1966-06-01 06:00:00,-230.07649,0,0001
1966-07-01 06:00:00,-231.91388,0,0001
1966-08-01 06:00:00,-230.18367,0,0001
1966-09-01 06:00:00,-227.85266,0,0001
1966-10-01 06:00:00,-223.93294,0,0001
1966-11-01 06:00:00,-224.30362,0,0001
1966-12-01 06:00:00,-225.70879,0,0001
1967-01-01 06:00:00,-225.0899,0,0001
1967-02-01 06:00:00,-222.91956,0,0001
1967-03-01 06:00:00,-223.06537,0,0001
1967-04-01 06:00:00,-223.71716,0,0001
1967-05-01 06:00:00,-227.16327,0,0001
1967-06-01 06:00:00,-229.69553,0,0001
1967-07-01 06:00:00,-230.406,0,0001
1967-08-01 06:00:00,-229.60042,0,0001
1967-09-01 06:00:00,-228.34291,0,0001
1967-10-01 06:00:00,-225.68124,0,0001
1967-11-01 06:00:00,-224.2522,0,0001
1967-12-01 06:00:00,-225.5014,0,0001
1968-01-01 06:00:00,-225.14465,0,0001
1968-02-01 06:00:00,-223.97652,0,0001
1968-03-01 06:00:00,-223.15901,0,0001
1968-04-01 06:00:00,-223.93343,0,0001
1968-05-01 06:00:00,-226.71915,0,0001
1968-06-01 06:00:00,-229.14607,0,0001
1968-07-01 06:00:00,-230.30391,0,0001
1968-08-01 06:00:00,-229.31526,0,0001
1968-09-01 06:00:00,-226.67726,0,0001
1968-10-01 06:00:00,-225.11044,0,0001
1968-11-01 06:00:00,-224.71582,0,0001
1968-12-01 06:00:00,-224.88391,0,0001
1969-01-01 06:00:00,-224.6949,0,0001
1969-02-01 06:00:00,-223.42026,0,0001
1969-03-01 06:00:00,-222.20717,0,0001
1969-04-01 06:00:00,-224.33621,0,0001
1969-05-01 06:00:00,-227.31215,0,0001
1969-06-01 06:00:00,-230.23367,0,0001
1969-07-01 06:00:00,-231.00497,0,0001
1969-08-01 06:00:00,-230.0812,0,0001
1969-09-01 06:00:00,-227.37628,0,0001
1969-10-01 06:00:00,-225.03784,0,0001
1969-11-01 06:00:00,-224.3385,0,0001
1969-12-01 06:00:00,-225.42911,0,0001
1970-01-01 06:00:00,-225.6914,0,0001
1970-02-01 06:00:00,-224.6114,0,0001
1970-03-01 06:00:00,-223.51402,0,0001
1970-04-01 06:00:00,-224.13931,0,0001
1970-05-01 06:00:00,-226.74185,0,0001
1970-06-01 06:00:00,-229.61166,0,0001
1970-07-01 06:00:00,-230.80222,0,0001
1970-08-01 06:00:00,-228.90608,0,0001
1970-09-01 06:00:00,-227.33939,0,0001
1970-10-01 06:00:00,-225.12161,0,0001
1970-11-01 06:00:00,-224.0478,0,0001
1970-12-01 06:00:00,-224.44376,0,0001
1971-01-01 06:00:00,-224.8629,0,0001
1971-02-01 06:00:00,-224.32217,0,0001
1971-03-01 06:00:00,-222.94063,0,0001
1971-04-01 06:00:00,-224.4392,0,0001
1971-05-01 06:00:00,-226.3787,0,0001
1971-06-01 06:00:00,-229.71162,0,0001
1971-07-01 06:00:00,-230.44493,0,0001
1971-08-01 06:00:00,-229.21193,0,0001
1971-09-01 06:00:00,-226.87344,0,0001
1971-10-01 06:00:00,-224.63197,0,0001
1971-11-01 06:00:00,-223.54872,0,0001
1971-12-01 06:00:00,-224.30295,0,0001
1972-01-01 06:00:00,-224.11383,0,0001
1972-02-01 06:00:00,-222.95847,0,0001
1972-03-01 06:00:00,-222.79155,0,0001
1972-04-01 06:00:00,-223.5744,0,0001
1972-05-01 06:00:00,-226.22758,0,0001
1972-06-01 06:00:00,-229.25374,0,0001
1972-07-01 06:00:00,-230.2836,0,0001
1972-08-01 06:00:00,-229.61395,0,0001
1972-09-01 06:00:00,-227.04399,0,0001
1972-10-01 06:00:00,-224.31795,0,0001
1972-11-01 06:00:00,-223.7384,0,0001
1972-12-01 06:00:00,-224.5671,0,0001
1973-01-01 06:00:00,-225.34047,0,0001
1973-02-01 06:00:00,-224.4513,0,0001
1973-03-01 06:00:00,-223.05263,0,0001
1973-04-01 06:00:00,-224.71906,0,0001
1973-05-01 06:00:00,-226.8619,0,0001
1973-06-01 06:00:00,-229.58015,0,0001
1973-07-01 06:00:00,-231.09348,0,0001
1973-08-01 06:00:00,-229.02295,0,0001
1973-09-01 06:00:00,-226.5051,0,0001
1973-10-01 06:00:00,-224.91898,0,0001
1973-11-01 06:00:00,-224.75293,0,0001
1973-12-01 06:00:00,-224.55055,0,0001
1974-01-01 06:00:00,-225.9932,0,0001
1974-02-01 06:00:00,-223.85764,0,0001
1974-03-01 06:00:00,-223.01918,0,0001
1974-04-01 06:00:00,-224.11975,0,0001
1974-05-01 06:00:00,-226.19305,0,0001
1974-06-01 06:00:00,-229.24153,0,0001
1974-07-01 06:00:00,-229.66272,0,0001
1974-08-01 06:00:00,-229.72136,0,0001
1974-09-01 06:00:00,-226.18558,0,0001
1974-10-01 06:00:00,-224.8211,0,0001
1974-11-01 06:00:00,-224.07886,0,0001
1974-12-01 06:00:00,-224.86746,0,0001
1975-01-01 06:00:00,-225.57428,0,0001
1975-02-01 06:00:00,-224.23952,0,0001
1975-03-01 06:00:00,-223.67781,0,0001
1975-04-01 06:00:00,-224.30382,0,0001
1975-05-01 06:00:00,-226.85912,0,0001
1975-06-01 06:00:00,-229.4767,0,0001
1975-07-01 06:00:00,-230.50685,0,0001
1975-08-01 06:00:00,-229.69829,0,0001
1975-09-01 06:00:00,-226.44693,0,0001
1975-10-01 06:00:00,-223.81459,0,0001
1975-11-01 06:00:00,-223.61955,0,0001
1975-12-01 06:00:00,-224.73566,0,0001
1976-01-01 06:00:00,-225.19566,0,0001
1976-02-01 06:00:00,-223.49959,0,0001
1976-03-01 06:00:00,-222.68665,0,0001
1976-04-01 06:00:00,-223.9514,0,0001
1976-05-01 06:00:00,-225.50862,0,0001
1976-06-01 06:00:00,-229.50826,0,0001
1976-07-01 06:00:00,-229.98428,0,0001
1976-08-01 06:00:00,-228.8342,0,0001
1976-09-01 06:00:00,-227.00842,0,0001
1976-10-01 06:00:00,-223.26491,0,0001
1976-11-01 06:00:00,-224.20193,0,0001
1976-12-01 06:00:00,-225.91298,0,0001
1977-01-01 06:00:00,-227.26074,0,0001
1977-02-01 06:00:00,-224.1251,0,0001
1977-03-01 06:00:00,-222.91429,0,0001
1977-04-01 06:00:00,-224.3693,0,0001
1977-05-01 06:00:00,-226.9837,0,0001
1977-06-01 06:00:00,-230.52844,0,0001
1977-07-01 06:00:00,-231.11302,0,0001
1977-08-01 06:00:00,-230.0618,0,0001
1977-09-01 06:00:00,-226.48093,0,0001
1977-10-01 06:00:00,-224.59341,0,0001
1977-11-01 06:00:00,-224.43724,0,0001
1977-12-01 06:00:00,-225.06836,0,0001
1978-01-01 06:00:00,-225.26666,0,0001
1978-02-01 06:00:00,-224.30983,0,0001
1978-03-01 06:00:00,-223.73132,0,0001
1978-04-01 06:00:00,-224.92665,0,0001
1978-05-01 06:00:00,-227.05435,0,0001
1978-06-01 06:00:00,-229.14703,0,0001
1978-07-01 06:00:00,-230.46336,0,0001
1978-08-01 06:00:00,-229.2902,0,0001
1978-09-01 06:00:00,-227.09189,0,0001
1978-10-01 06:00:00,-224.93399,0,0001
1978-11-01 06:00:00,-224.92538,0,0001
1978-12-01 06:00:00,-225.46008,0,0001
1979-01-01 06:00:00,-225.70882,0,0001
1979-02-01 06:00:00,-223.72624,0,0001
1979-03-01 06:00:00,-224.02965,0,0001
1979-04-01 06:00:00,-224.82466,0,0001
1979-05-01 06:00:00,-226.836,0,0001
1979-06-01 06:00:00,-229.56717,0,0001
1979-07-01 06:00:00,-230.66731,0,0001
1979-08-01 06:00:00,-229.89464,0,0001
1979-09-01 06:00:00,-227.31685,0,0001
1979-10-01 06:00:00,-225.43224,0,0001
1979-11-01 06:00:00,-224.72206,0,0001
1979-12-01 06:00:00,-225.6323,0,0001
1980-01-01 06:00:00,-225.51497,0,0001
1980-02-01 06:00:00,-225.56514,0,0001
1980-03-01 06:00:00,-224.82996,0,0001
