valid_time,sst,number,expver
1989-04-01,286.7116,0,0001
1989-05-01,286.6229,0,0001
1989-06-01,286.63803,0,0001
1989-07-01,286.82483,0,0001
1989-08-01,286.96854,0,0001
1989-09-01,286.8548,0,0001
1989-10-01,286.52927,0,0001
1989-11-01,286.4261,0,0001
1989-12-01,286.51382,0,0001
1990-01-01,286.69836,0,0001
1990-02-01,286.89508,0,0001
1990-03-01,286.85394,0,0001
1990-04-01,286.79715,0,0001
1990-05-01,286.7768,0,0001
1990-06-01,286.7288,0,0001
1990-07-01,286.91666,0,0001
1990-08-01,287.09442,0,0001
1990-09-01,287.0319,0,0001
1990-10-01,286.7703,0,0001
1990-11-01,286.57986,0,0001
1990-12-01,286.63293,0,0001
1991-01-01,286.8702,0,0001
1991-02-01,286.97702,0,0001
1991-03-01,286.9561,0,0001
1991-04-01,286.86472,0,0001
1991-05-01,286.74384,0,0001
1991-06-01,286.81158,0,0001
1991-07-01,286.9805,0,0001
1991-08-01,287.0207,0,0001
1991-09-01,286.88147,0,0001
1991-10-01,286.59305,0,0001
1991-11-01,286.4626,0,0001
1991-12-01,286.5482,0,0001
1992-01-01,286.73816,0,0001
1992-02-01,286.9089,0,0001
1992-03-01,286.83685,0,0001
1992-04-01,286.7618,0,0001
1992-05-01,286.65836,0,0001
1992-06-01,286.70633,0,0001
1992-07-01,286.78867,0,0001
1992-08-01,286.90335,0,0001
1992-09-01,286.77884,0,0001
1992-10-01,286.49365,0,0001
1992-11-01,286.38672,0,0001
1992-12-01,286.46268,0,0001
1993-01-01,286.74002,0,0001
1993-02-01,286.85684,0,0001
1993-03-01,286.84125,0,0001
1993-04-01,286.74847,0,0001
1993-05-01,286.65106,0,0001
1993-06-01,286.65805,0,0001
1993-07-01,286.7936,0,0001
1993-08-01,286.9335,0,0001
1993-09-01,286.828,0,0001
1993-10-01,286.55392,0,0001
1993-11-01,286.45978,0,0001
1993-12-01,286.50024,0,0001
1994-01-01,286.69055,0,0001
1994-02-01,286.79483,0,0001
1994-03-01,286.80527,0,0001
1994-04-01,286.6943,0,0001
1994-05-01,286.59995,0,0001
1994-06-01,286.62683,0,0001
1994-07-01,286.7857,0,0001
1994-08-01,286.97488,0,0001
1994-09-01,286.85333,0,0001
1994-10-01,286.6394,0,0001
1994-11-01,286.48575,0,0001
1994-12-01,286.56152,0,0001
1995-01-01,286.75568,0,0001
1995-02-01,286.92438,0,0001
1995-03-01,286.90878,0,0001
1995-04-01,286.79022,0,0001
1995-05-01,286.71097,0,0001
1995-06-01,286.74655,0,0001
1995-07-01,286.94376,0,0001
1995-08-01,287.07913,0,0001
1995-09-01,286.92426,0,0001
1995-10-01,286.6401,0,0001
1995-11-01,286.48462,0,0001
1995-12-01,286.53403,0,0001
1996-01-01,286.7036,0,0001
1996-02-01,286.8358,0,0001
1996-03-01,286.81042,0,0001
1996-04-01,286.7136,0,0001
1996-05-01,286.60217,0,0001
1996-06-01,286.733,0,0001
1996-07-01,286.85623,0,0001
1996-08-01,286.9947,0,0001
1996-09-01,286.87317,0,0001
1996-10-01,286.59808,0,0001
1996-11-01,286.47113,0,0001
1996-12-01,286.5223,0,0001
1997-01-01,286.729,0,0001
1997-02-01,286.88116,0,0001
1997-03-01,286.89413,0,0001
1997-04-01,286.80573,0,0001
1997-05-01,286.7688,0,0001
1997-06-01,286.8087,0,0001
1997-07-01,287.03204,0,0001
1997-08-01,287.18124,0,0001
1997-09-01,287.1007,0,0001
1997-10-01,286.82886,0,0001
1997-11-01,286.69003,0,0001
1997-12-01,286.76303,0,0001
1998-01-01,286.94305,0,0001
1998-02-01,287.06833,0,0001
1998-03-01,287.0602,0,0001
1998-04-01,286.9374,0,0001
1998-05-01,286.87088,0,0001
1998-06-01,286.89713,0,0001
1998-07-01,287.0847,0,0001
1998-08-01,287.20322,0,0001
1998-09-01,287.04794,0,0001
1998-10-01,286.76587,0,0001
1998-11-01,286.60364,0,0001
1998-12-01,286.57056,0,0001
1999-01-01,286.75476,0,0001
1999-02-01,286.87955,0,0001
1999-03-01,286.90002,0,0001
1999-04-01,286.76358,0,0001
1999-05-01,286.67828,0,0001
1999-06-01,286.71365,0,0001
1999-07-01,286.89215,0,0001
1999-08-01,287.03244,0,0001
1999-09-01,286.91183,0,0001
1999-10-01,286.64005,0,0001
1999-11-01,286.5102,0,0001
1999-12-01,286.51895,0,0001
2000-01-01,286.74176,0,0001
2000-02-01,286.87466,0,0001
2000-03-01,286.84286,0,0001
2000-04-01,286.79993,0,0001
2000-05-01,286.70593,0,0001
2000-06-01,286.71237,0,0001
2000-07-01,286.9085,0,0001
2000-08-01,287.103,0,0001
2000-09-01,286.9707,0,0001
2000-10-01,286.68787,0,0001
2000-11-01,286.58072,0,0001
2000-12-01,286.6172,0,0001
2001-01-01,286.80276,0,0001
2001-02-01,286.95374,0,0001
2001-03-01,286.99728,0,0001
2001-04-01,286.8646,0,0001
2001-05-01,286.76453,0,0001
2001-06-01,286.84912,0,0001
2001-07-01,287.04764,0,0001
2001-08-01,287.1566,0,0001
2001-09-01,287.0736,0,0001
2001-10-01,286.8096,0,0001
2001-11-01,286.67328,0,0001
2001-12-01,286.69266,0,0001
2002-01-01,286.86694,0,0001
2002-02-01,286.96222,0,0001
2002-03-01,287.00104,0,0001
2002-04-01,286.8866,0,0001
2002-05-01,286.79938,0,0001
2002-06-01,286.8572,0,0001
2002-07-01,286.9939,0,0001
2002-08-01,287.1469,0,0001
2002-09-01,287.03995,0,0001
2002-10-01,286.80045,0,0001
2002-11-01,286.62845,0,0001
2002-12-01,286.69748,0,0001
2003-01-01,286.87494,0,0001
2003-02-01,287.03586,0,0001
2003-03-01,287.03265,0,0001
2003-04-01,286.90555,0,0001
2003-05-01,286.80978,0,0001
2003-06-01,286.86707,0,0001
2003-07-01,287.08685,0,0001
2003-08-01,287.2322,0,0001
2003-09-01,287.11572,0,0001
2003-10-01,286.84393,0,0001
2003-11-01,286.669,0,0001
2003-12-01,286.70917,0,0001
2004-01-01,286.89163,0,0001
2004-02-01,287.03348,0,0001
2004-03-01,286.9782,0,0001
2004-04-01,286.90762,0,0001
2004-05-01,286.7805,0,0001
2004-06-01,286.82422,0,0001
2004-07-01,287.05423,0,0001
2004-08-01,287.22845,0,0001
2004-09-01,287.0956,0,0001
2004-10-01,286.823,0,0001
2004-11-01,286.67267,0,0001
2004-12-01,286.7437,0,0001
2005-01-01,286.92303,0,0001
2005-02-01,287.0412,0,0001
2005-03-01,287.02448,0,0001
2005-04-01,286.90475,0,0001
2005-05-01,286.84158,0,0001
2005-06-01,286.8893,0,0001
2005-07-01,287.11722,0,0001
2005-08-01,287.2625,0,0001
2005-09-01,287.1409,0,0001
2005-10-01,286.81277,0,0001
2005-11-01,286.63968,0,0001
2005-12-01,286.6972,0,0001
2006-01-01,286.88583,0,0001
2006-02-01,287.03635,0,0001
2006-03-01,286.9857,0,0001
2006-04-01,286.8938,0,0001
2006-05-01,286.81357,0,0001
2006-06-01,286.8781,0,0001
2006-07-01,287.06522,0,0001
2006-08-01,287.24173,0,0001
2006-09-01,287.12433,0,0001
2006-10-01,286.83945,0,0001
2006-11-01,286.71442,0,0001
2006-12-01,286.75708,0,0001
2007-01-01,286.91364,0,0001
2007-02-01,287.04178,0,0001
2007-03-01,286.9592,0,0001
2007-04-01,286.86157,0,0001
2007-05-01,286.77377,0,0001
2007-06-01,286.8383,0,0001
2007-07-01,287.04495,0,0001
2007-08-01,287.18973,0,0001
2007-09-01,287.1201,0,0001
2007-10-01,286.74765,0,0001
2007-11-01,286.5389,0,0001
2007-12-01,286.56873,0,0001
2008-01-01,286.74576,0,0001
2008-02-01,286.88937,0,0001
2008-03-01,286.89783,0,0001
2008-04-01,286.7927,0,0001
2008-05-01,286.7395,0,0001
