valid_time,fal,number,expver
1992-03-01,0.28536168,0,0001
1992-04-01,0.28574446,0,0001
1992-05-01,0.27766934,0,0001
1992-06-01,0.25732338,0,0001
1992-07-01,0.24099067,0,0001
1992-08-01,0.24242939,0,0001
1992-09-01,0.26054206,0,0001
1992-10-01,0.2873574,0,0001
1992-11-01,0.2976238,0,0001
1992-12-01,0.29277828,0,0001
1993-01-01,0.29040948,0,0001
1993-02-01,0.28749618,0,0001
1993-03-01,0.28902072,0,0001
1993-04-01,0.28591627,0,0001
1993-05-01,0.2788015,0,0001
1993-06-01,0.25391287,0,0001
1993-07-01,0.23927842,0,0001
1993-08-01,0.24160662,0,0001
1993-09-01,0.26072097,0,0001
1993-10-01,0.28603235,0,0001
1993-11-01,0.30014163,0,0001
1993-12-01,0.29345235,0,0001
1994-01-01,0.28869182,0,0001
1994-02-01,0.28968215,0,0001
1994-03-01,0.29079866,0,0001
1994-04-01,0.28705618,0,0001
1994-05-01,0.2782777,0,0001
1994-06-01,0.2548405,0,0001
1994-07-01,0.24032713,0,0001
1994-08-01,0.24146244,0,0001
1994-09-01,0.2588248,0,0001
1994-10-01,0.28139964,0,0001
1994-11-01,0.29647747,0,0001
1994-12-01,0.2935696,0,0001
1995-01-01,0.28865877,0,0001
1995-02-01,0.2850684,0,0001
1995-03-01,0.28786132,0,0001
1995-04-01,0.28483218,0,0001
1995-05-01,0.27578175,0,0001
1995-06-01,0.25275898,0,0001
1995-07-01,0.2385094,0,0001
1995-08-01,0.24174057,0,0001
1995-09-01,0.25777835,0,0001
1995-10-01,0.2767174,0,0001
1995-11-01,0.29392505,0,0001
1995-12-01,0.29262882,0,0001
1996-01-01,0.28889683,0,0001
1996-02-01,0.2878472,0,0001
1996-03-01,0.2900256,0,0001
1996-04-01,0.28890705,0,0001
1996-05-01,0.28173664,0,0001
1996-06-01,0.25917056,0,0001
1996-07-01,0.24290988,0,0001
1996-08-01,0.24238835,0,0001
1996-09-01,0.26237687,0,0001
1996-10-01,0.28294337,0,0001
1996-11-01,0.29161397,0,0001
1996-12-01,0.29075348,0,0001
1997-01-01,0.28913713,0,0001
1997-02-01,0.28705844,0,0001
1997-03-01,0.28635588,0,0001
1997-04-01,0.28500378,0,0001
1997-05-01,0.27728894,0,0001
1997-06-01,0.25487605,0,0001
1997-07-01,0.23983502,0,0001
1997-08-01,0.24175818,0,0001
1997-09-01,0.2588871,0,0001
1997-10-01,0.28079462,0,0001
1997-11-01,0.29325762,0,0001
1997-12-01,0.29224122,0,0001
1998-01-01,0.28712893,0,0001
1998-02-01,0.28642935,0,0001
1998-03-01,0.28978008,0,0001
1998-04-01,0.2872297,0,0001
1998-05-01,0.27892214,0,0001
1998-06-01,0.25283548,0,0001
1998-07-01,0.23839886,0,0001
1998-08-01,0.23978451,0,0001
1998-09-01,0.25835922,0,0001
1998-10-01,0.2825608,0,0001
1998-11-01,0.2937268,0,0001
1998-12-01,0.2905561,0,0001
1999-01-01,0.28642374,0,0001
1999-02-01,0.2854314,0,0001
1999-03-01,0.28744164,0,0001
1999-04-01,0.28755024,0,0001
1999-05-01,0.27982566,0,0001
1999-06-01,0.2555264,0,0001
1999-07-01,0.23954315,0,0001
1999-08-01,0.24191394,0,0001
1999-09-01,0.25646994,0,0001
1999-10-01,0.28163144,0,0001
1999-11-01,0.29389608,0,0001
1999-12-01,0.2889792,0,0001
2000-01-01,0.28575507,0,0001
