valid_time,avg_sdswrf,number,expver
1995-10-01 06:00:00,159.54524,0,0001
1995-11-01 06:00:00,181.27232,0,0001
1995-12-01 06:00:00,190.51807,0,0001
1996-01-01 06:00:00,184.58441,0,0001
1996-02-01 06:00:00,167.22351,0,0001
1996-03-01 06:00:00,154.29413,0,0001
1996-04-01 06:00:00,159.27263,0,0001
1996-05-01 06:00:00,165.4294,0,0001
1996-06-01 06:00:00,164.16972,0,0001
1996-07-01 06:00:00,155.39862,0,0001
1996-08-01 06:00:00,147.65422,0,0001
1996-09-01 06:00:00,146.66103,0,0001
1996-10-01 06:00:00,159.99728,0,0001
1996-11-01 06:00:00,181.12474,0,0001
1996-12-01 06:00:00,191.94997,0,0001
1997-01-01 06:00:00,184.53902,0,0001
1997-02-01 06:00:00,167.54762,0,0001
1997-03-01 06:00:00,155.14761,0,0001
1997-04-01 06:00:00,158.6897,0,0001
1997-05-01 06:00:00,164.73451,0,0001
1997-06-01 06:00:00,163.77211,0,0001
1997-07-01 06:00:00,152.78867,0,0001
1997-08-01 06:00:00,148.57571,0,0001
1997-09-01 06:00:00,147.89607,0,0001
1997-10-01 06:00:00,160.5023,0,0001
1997-11-01 06:00:00,181.2494,0,0001
1997-12-01 06:00:00,191.30481,0,0001
1998-01-01 06:00:00,183.05702,0,0001
1998-02-01 06:00:00,166.69241,0,0001
1998-03-01 06:00:00,154.41925,0,0001
1998-04-01 06:00:00,157.8286,0,0001
1998-05-01 06:00:00,164.62878,0,0001
1998-06-01 06:00:00,161.98563,0,0001
1998-07-01 06:00:00,153.56667,0,0001
1998-08-01 06:00:00,145.96524,0,0001
1998-09-01 06:00:00,145.72894,0,0001
1998-10-01 06:00:00,160.50294,0,0001
1998-11-01 06:00:00,180.41032,0,0001
1998-12-01 06:00:00,190.42323,0,0001
1999-01-01 06:00:00,185.98543,0,0001
1999-02-01 06:00:00,167.67714,0,0001
1999-03-01 06:00:00,155.82828,0,0001
1999-04-01 06:00:00,159.1254,0,0001
1999-05-01 06:00:00,165.23975,0,0001
1999-06-01 06:00:00,163.91635,0,0001
1999-07-01 06:00:00,152.84506,0,0001
1999-08-01 06:00:00,147.28247,0,0001
1999-09-01 06:00:00,146.93318,0,0001
1999-10-01 06:00:00,160.08159,0,0001
1999-11-01 06:00:00,180.77174,0,0001
1999-12-01 06:00:00,190.91821,0,0001
2000-01-01 06:00:00,185.95416,0,0001
2000-02-01 06:00:00,168.1935,0,0001
2000-03-01 06:00:00,155.65399,0,0001
2000-04-01 06:00:00,158.84131,0,0001
2000-05-01 06:00:00,165.11539,0,0001
2000-06-01 06:00:00,163.6419,0,0001
2000-07-01 06:00:00,153.79678,0,0001
2000-08-01 06:00:00,148.24841,0,0001
2000-09-01 06:00:00,147.33835,0,0001
2000-10-01 06:00:00,159.64194,0,0001
2000-11-01 06:00:00,180.61789,0,0001
2000-12-01 06:00:00,192.99872,0,0001
2001-01-01 06:00:00,185.71628,0,0001
2001-02-01 06:00:00,167.67046,0,0001
2001-03-01 06:00:00,155.44107,0,0001
2001-04-01 06:00:00,158.87009,0,0001
2001-05-01 06:00:00,165.17307,0,0001
2001-06-01 06:00:00,164.57034,0,0001
2001-07-01 06:00:00,153.9116,0,0001
2001-08-01 06:00:00,146.90372,0,0001
2001-09-01 06:00:00,146.72728,0,0001
2001-10-01 06:00:00,158.92494,0,0001
2001-11-01 06:00:00,180.33585,0,0001
2001-12-01 06:00:00,190.44653,0,0001
2002-01-01 06:00:00,183.7269,0,0001
2002-02-01 06:00:00,166.75677,0,0001
2002-03-01 06:00:00,154.64111,0,0001
2002-04-01 06:00:00,158.16382,0,0001
2002-05-01 06:00:00,165.61253,0,0001
2002-06-01 06:00:00,163.54425,0,0001
2002-07-01 06:00:00,155.06097,0,0001
2002-08-01 06:00:00,145.8532,0,0001
2002-09-01 06:00:00,147.29785,0,0001
2002-10-01 06:00:00,160.77219,0,0001
2002-11-01 06:00:00,180.51942,0,0001
2002-12-01 06:00:00,190.46747,0,0001
2003-01-01 06:00:00,184.42932,0,0001
2003-02-01 06:00:00,168.02394,0,0001
2003-03-01 06:00:00,155.59154,0,0001
2003-04-01 06:00:00,158.01285,0,0001
2003-05-01 06:00:00,165.10287,0,0001
2003-06-01 06:00:00,163.3628,0,0001
2003-07-01 06:00:00,154.13184,0,0001
2003-08-01 06:00:00,147.52377,0,0001
2003-09-01 06:00:00,146.66748,0,0001
2003-10-01 06:00:00,160.05266,0,0001
2003-11-01 06:00:00,180.38318,0,0001
2003-12-01 06:00:00,191.4391,0,0001
2004-01-01 06:00:00,184.46786,0,0001
2004-02-01 06:00:00,168.45186,0,0001
2004-03-01 06:00:00,154.18146,0,0001
2004-04-01 06:00:00,158.47874,0,0001
2004-05-01 06:00:00,163.86967,0,0001
2004-06-01 06:00:00,163.00003,0,0001
2004-07-01 06:00:00,153.94748,0,0001
2004-08-01 06:00:00,146.35335,0,0001
2004-09-01 06:00:00,146.84587,0,0001
2004-10-01 06:00:00,160.80702,0,0001
2004-11-01 06:00:00,181.54868,0,0001
2004-12-01 06:00:00,192.30782,0,0001
2005-01-01 06:00:00,184.02995,0,0001
2005-02-01 06:00:00,166.98474,0,0001
2005-03-01 06:00:00,154.62566,0,0001
2005-04-01 06:00:00,158.52586,0,0001
2005-05-01 06:00:00,164.64888,0,0001
2005-06-01 06:00:00,161.02238,0,0001
2005-07-01 06:00:00,153.30116,0,0001
2005-08-01 06:00:00,146.71617,0,0001
2005-09-01 06:00:00,146.83366,0,0001
2005-10-01 06:00:00,159.51831,0,0001
2005-11-01 06:00:00,181.03593,0,0001
2005-12-01 06:00:00,191.4135,0,0001
2006-01-01 06:00:00,183.67537,0,0001
2006-02-01 06:00:00,166.98927,0,0001
2006-03-01 06:00:00,154.69618,0,0001
2006-04-01 06:00:00,157.44366,0,0001
2006-05-01 06:00:00,164.67427,0,0001
2006-06-01 06:00:00,163.19983,0,0001
2006-07-01 06:00:00,152.67734,0,0001
2006-08-01 06:00:00,147.7745,0,0001
2006-09-01 06:00:00,147.253,0,0001
2006-10-01 06:00:00,159.22011,0,0001
2006-11-01 06:00:00,180.86476,0,0001
2006-12-01 06:00:00,191.55849,0,0001
2007-01-01 06:00:00,184.1432,0,0001
2007-02-01 06:00:00,167.75314,0,0001
2007-03-01 06:00:00,154.39636,0,0001
2007-04-01 06:00:00,157.36462,0,0001
2007-05-01 06:00:00,164.81882,0,0001
2007-06-01 06:00:00,161.10312,0,0001
2007-07-01 06:00:00,154.15205,0,0001
2007-08-01 06:00:00,145.63956,0,0001
2007-09-01 06:00:00,146.6381,0,0001
2007-10-01 06:00:00,160.49533,0,0001
2007-11-01 06:00:00,180.91724,0,0001
2007-12-01 06:00:00,190.54082,0,0001
2008-01-01 06:00:00,184.23528,0,0001
2008-02-01 06:00:00,167.6407,0,0001
2008-03-01 06:00:00,155.52475,0,0001
2008-04-01 06:00:00,158.78421,0,0001
2008-05-01 06:00:00,165.39111,0,0001
2008-06-01 06:00:00,163.35753,0,0001
2008-07-01 06:00:00,154.61322,0,0001
2008-08-01 06:00:00,147.01125,0,0001
2008-09-01 06:00:00,146.25156,0,0001
2008-10-01 06:00:00,160.99245,0,0001
2008-11-01 06:00:00,180.80968,0,0001
2008-12-01 06:00:00,192.04654,0,0001
2009-01-01 06:00:00,184.25174,0,0001
2009-02-01 06:00:00,167.7643,0,0001
2009-03-01 06:00:00,154.59161,0,0001
2009-04-01 06:00:00,158.71259,0,0001
2009-05-01 06:00:00,165.6284,0,0001
2009-06-01 06:00:00,163.14458,0,0001
2009-07-01 06:00:00,153.6281,0,0001
2009-08-01 06:00:00,147.34991,0,0001
2009-09-01 06:00:00,146.28731,0,0001
2009-10-01 06:00:00,159.9701,0,0001
2009-11-01 06:00:00,179.7055,0,0001
